rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
1,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold64_all_none,1h,229,40.17,13242.86,132.43,9701.55,97.02,1.61,1.41,0.383,-3555.97,10,14.05,none,26.26
2,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target3_hold32_all_none,1h,192,39.06,11224.50,112.24,8650.97,86.51,1.70,1.49,0.409,-2352.42,9,17.52,none,32.93
3,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2.5_hold32_all_none,1h,244,39.75,11149.98,111.50,7576.11,75.76,1.51,1.32,0.321,-3436.48,10,15.65,none,3.08
4,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target3_hold64_all_none,1h,175,37.14,10844.19,108.44,8501.33,85.01,1.71,1.51,0.438,-2232.25,9,17.20,none,32.13
5,WIFUSDT,liquidity_reclaim_reversal,sweep24_rsi14_stop0.5_target2.5_hold64_all_none,1h,184,40.76,10239.44,102.39,7853.97,78.54,1.70,1.49,0.398,-2303.63,9,15.18,none,25.03
6,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.8_target2.5_hold64_all_none,1h,220,38.64,9950.43,99.50,7405.92,74.06,1.52,1.36,0.328,-2575.64,9,15.51,none,16.51
7,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold64_all_none,1h,250,43.20,9732.55,97.33,6119.77,61.20,1.46,1.27,0.283,-2498.83,10,12.38,none,-10.42
8,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target3_hold32_all_none,1h,235,35.74,9658.37,96.58,6497.12,64.97,1.47,1.29,0.304,-2962.99,10,19.63,none,-7.19
9,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold32_all_none,1h,262,43.51,9481.29,94.81,5766.08,57.66,1.45,1.25,0.265,-2466.55,10,12.54,none,-14.31
10,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target2_hold8_all_none,1h,289,44.98,8962.75,89.63,4881.48,48.81,1.43,1.21,0.231,-1832.45,10,12.62,none,-22.46
11,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold16_long_only_none,1h,52,57.69,8947.57,89.48,8016.01,80.16,3.66,3.13,1.256,-665.55,4,18.15,none,131.65
12,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold8_long_only_none,1h,52,59.62,8903.44,89.03,7973.97,79.74,3.79,3.24,1.250,-502.73,3,18.13,none,134.46
13,WIFUSDT,liquidity_reclaim_reversal,sweep12_rsi14_stop0.5_target3_hold64_all_none,1h,210,34.29,8878.17,88.78,6103.29,61.03,1.47,1.30,0.320,-2660.19,10,19.81,none,-10.18
14,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold32_long_only_none,1h,52,55.77,8702.04,87.02,7772.59,77.73,3.47,2.97,1.231,-665.55,4,18.42,none,125.24
15,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold64_long_only_none,1h,52,55.77,8702.04,87.02,7772.59,77.73,3.47,2.97,1.231,-665.55,4,18.42,none,125.24
16,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold16_long_only_volume>1.4xSMA30,1h,46,60.87,8592.52,85.93,7776.26,77.76,4.06,3.47,1.376,-1143.62,7,18.55,volume>1.4xSMA30,100.62
