rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
1,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold12_short_only_none,1h,13,84.62,3515.68,35.16,3107.25,31.07,17.22,11.00,2.358,-116.70,1,37.70,none,266.73
2,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold48_short_only_none,1h,13,76.92,3687.03,36.87,3268.79,32.69,11.64,7.50,2.462,-124.70,1,36.40,none,180.84
3,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold96_short_only_none,1h,13,76.92,3687.03,36.87,3268.79,32.69,11.64,7.50,2.462,-124.70,1,36.40,none,180.84
4,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop0.8_target3.5_hold24_short_only_none,1h,13,76.92,3456.38,34.56,3042.62,30.43,11.10,7.12,2.327,-122.59,1,38.18,none,169.09
5,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold8_long_only_none,1h,52,59.62,8903.44,89.03,7973.97,79.74,3.79,3.24,1.250,-502.73,3,18.13,none,134.46
6,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold16_long_only_none,1h,52,57.69,8947.57,89.48,8016.01,80.16,3.66,3.13,1.256,-665.55,4,18.15,none,131.65
7,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,46,63.04,8549.22,85.49,7734.03,77.34,4.24,3.62,1.370,-815.29,5,18.53,volume>1.4xSMA30,128.91
8,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold32_long_only_none,1h,52,55.77,8702.04,87.02,7772.59,77.73,3.47,2.97,1.231,-665.55,4,18.42,none,125.24
9,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target3_hold64_long_only_none,1h,52,55.77,8702.04,87.02,7772.59,77.73,3.47,2.97,1.231,-665.55,4,18.42,none,125.24
10,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target3_hold8_long_only_none,1h,42,66.67,5910.99,59.11,5522.06,55.22,4.02,3.64,1.127,-594.90,4,23.00,none,119.61
11,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold16_long_only_none,1h,54,61.11,7897.92,78.98,6964.19,69.64,3.57,3.02,1.098,-544.67,3,16.34,none,118.79
12,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2.5_hold16_long_only_none,1h,45,64.44,6232.43,62.32,5820.06,58.20,3.79,3.43,1.095,-606.04,4,18.78,none,117.47
13,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target2.5_hold8_long_only_none,1h,46,67.39,6069.00,60.69,5646.59,56.47,3.82,3.45,1.048,-609.65,4,19.07,none,116.30
14,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold8_long_only_none,1h,54,61.11,7731.67,77.32,6798.18,67.98,3.51,2.97,1.080,-544.67,3,16.48,none,115.95
15,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold8_long_only_volume>1.4xSMA30,1h,42,71.43,4829.61,48.30,4554.87,45.55,4.17,3.83,0.951,-572.82,4,17.92,volume>1.4xSMA30,114.76
16,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2.5_hold16_long_only_none,1h,39,64.10,5370.50,53.71,5040.44,50.40,3.99,3.62,1.121,-568.12,4,20.44,none,114.37
17,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold8_long_only_volume>1.4xSMA30,1h,37,70.27,4545.02,45.45,4299.91,43.00,4.21,3.87,1.029,-553.65,4,23.08,volume>1.4xSMA30,113.45
18,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target3_hold8_long_only_volume>1.4xSMA30,1h,34,64.71,4565.66,45.66,4335.90,43.36,4.18,3.85,1.128,-557.76,4,27.28,volume>1.4xSMA30,113.28
19,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold32_long_only_none,1h,54,59.26,7665.99,76.66,6734.28,67.34,3.37,2.86,1.074,-544.67,3,16.62,none,112.46
20,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold64_long_only_none,1h,54,59.26,7665.99,76.66,6734.28,67.34,3.37,2.86,1.074,-544.67,3,16.62,none,112.46
21,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.3_target3_hold16_long_only_none,1h,40,60.00,5681.19,56.81,5312.85,53.13,3.74,3.38,1.148,-591.40,4,23.70,none,111.24
22,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target2.5_hold16_long_only_none,1h,44,61.36,6052.00,60.52,5569.98,55.70,3.65,3.26,1.096,-555.80,4,18.94,none,110.75
23,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold16_long_only_volume>1.4xSMA30,1h,41,68.29,4794.18,47.94,4527.76,45.28,3.94,3.62,0.969,-563.97,4,17.98,volume>1.4xSMA30,109.44
24,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target2.5_hold8_long_only_none,1h,44,63.64,5856.16,58.56,5373.60,53.74,3.69,3.28,1.067,-556.72,4,19.28,none,109.37
25,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target3_hold8_long_only_none,1h,37,64.86,4924.09,49.24,4609.54,46.10,3.92,3.55,1.104,-552.42,4,25.64,none,108.41
26,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold16_long_only_volume>1.4xSMA30,1h,38,68.42,4363.33,43.63,4126.79,41.27,4.06,3.73,0.966,-542.07,4,18.99,volume>1.4xSMA30,108.22
27,PEPEUSDT,range_expansion_breakout,ch20_rng0.9_stop0.7_target3_hold8_long_only_volume>1.4xSMA30,1h,49,59.18,7998.29,79.98,7120.53,71.21,3.56,3.04,1.225,-916.25,5,19.28,volume>1.4xSMA30,107.85
28,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold8_long_only_none,1h,50,62.00,6320.16,63.20,5746.25,57.46,3.39,3.01,0.998,-519.17,3,18.58,none,106.29
29,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold8_long_only_volume>1.4xSMA30,1h,35,68.57,4110.12,41.10,3888.45,38.88,4.02,3.69,1.000,-531.73,4,24.51,volume>1.4xSMA30,104.91
30,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2.5_hold16_long_only_volume>1.4xSMA30,1h,35,62.86,4327.63,43.28,4096.82,40.97,3.93,3.61,1.045,-548.99,4,23.97,volume>1.4xSMA30,104.79
31,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target2.5_hold32_long_only_none,1h,44,59.09,5858.20,58.58,5377.20,53.77,3.42,3.05,1.068,-555.80,4,19.33,none,103.69
32,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1_target2.5_hold64_long_only_none,1h,44,59.09,5858.20,58.58,5377.20,53.77,3.42,3.05,1.068,-555.80,4,19.33,none,103.69
33,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target2.5_hold16_long_only_none,1h,43,60.47,5660.48,56.60,5199.86,52.00,3.49,3.12,1.063,-555.80,4,19.75,none,103.55
34,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target3_hold16_long_only_none,1h,36,58.33,4921.61,49.22,4613.26,46.13,3.69,3.35,1.135,-562.75,4,26.03,none,103.38
35,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold16_long_only_volume>1.4xSMA30,1h,48,62.50,7128.74,71.29,6318.42,63.18,3.69,3.13,1.142,-767.24,5,17.33,volume>1.4xSMA30,102.49
36,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target2.5_hold8_long_only_none,1h,43,62.79,5469.42,54.69,5008.28,50.08,3.53,3.14,1.033,-556.72,4,20.14,none,102.10
37,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold8_long_only_volume>1.4xSMA30,1h,39,69.23,4173.26,41.73,3930.17,39.30,3.88,3.56,0.907,-546.10,4,19.62,volume>1.4xSMA30,101.83
38,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.3_target2.5_hold8_long_only_none,1h,40,65.00,4848.50,48.48,4512.68,45.13,3.63,3.28,1.006,-557.71,4,21.83,none,100.84
39,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold8_long_only_none,1h,46,69.57,4715.83,47.16,4408.72,44.09,3.60,3.30,0.852,-568.43,4,18.21,none,100.24
40,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold16_long_only_none,1h,50,58.00,6200.09,62.00,5630.72,56.31,3.15,2.80,0.984,-657.83,4,18.84,none,99.70
41,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold8_long_only_volume>1.4xSMA30,1h,48,62.50,6969.64,69.70,6159.54,61.60,3.63,3.08,1.122,-767.24,5,17.50,volume>1.4xSMA30,99.60
42,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2_hold16_long_only_none,1h,39,66.67,4219.70,42.20,3977.25,39.77,3.73,3.43,0.916,-536.65,4,19.44,none,99.07
43,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1.7_target2_hold16_long_only_none,1h,45,66.67,4796.38,47.96,4496.95,44.97,3.50,3.21,0.884,-564.05,4,17.97,none,98.85
44,PEPEUSDT,range_expansion_breakout,ch20_rng1.35_stop1.7_target2.5_hold16_long_only_volume>1.4xSMA30,1h,34,61.76,3978.18,39.78,3762.03,37.62,3.76,3.46,1.002,-535.60,4,25.44,volume>1.4xSMA30,97.68
45,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target2.5_hold32_long_only_none,1h,43,58.14,5471.42,54.71,5011.78,50.12,3.27,2.92,1.035,-555.80,4,20.19,none,96.83
46,PEPEUSDT,range_expansion_breakout,ch20_rng1.6_stop1_target2.5_hold64_long_only_none,1h,43,58.14,5471.42,54.71,5011.78,50.12,3.27,2.92,1.035,-555.80,4,20.19,none,96.83
47,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold8_long_only_volume>1.4xSMA30,1h,45,64.44,6009.25,60.09,5497.06,54.97,3.64,3.23,1.064,-737.74,5,19.16,volume>1.4xSMA30,96.82
48,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold32_long_only_volume>1.4xSMA30,1h,48,60.42,6906.78,69.07,6098.39,60.98,3.47,2.94,1.115,-767.24,5,17.65,volume>1.4xSMA30,95.69
49,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop0.7_target2.5_hold64_long_only_volume>1.4xSMA30,1h,48,60.42,6906.78,69.07,6098.39,60.98,3.47,2.94,1.115,-767.24,5,17.65,volume>1.4xSMA30,95.69
50,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2_hold8_long_only_none,1h,52,65.38,5519.80,55.20,4944.69,49.45,3.26,2.87,0.859,-425.19,3,16.34,none,95.04
51,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold32_long_only_none,1h,50,56.00,6004.51,60.05,5436.33,54.36,2.98,2.66,0.960,-657.83,4,19.22,none,94.16
52,PEPEUSDT,range_expansion_breakout,ch20_rng1.1_stop1_target2.5_hold64_long_only_none,1h,50,56.00,6004.51,60.05,5436.33,54.36,2.98,2.66,0.960,-657.83,4,19.22,none,94.16
