rank,symbol,strategy,variant,timeframe,trades,win_rate,net_profit,return_percent,cost_10bps_net_profit,cost_10bps_return_percent,profit_factor,cost_10bps_profit_factor,expectancy_r,max_drawdown,max_loss_streak,top3_profit_percent,volume_filter,score
1,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target1.5_hold12_short_only_none,1h,8,100.00,940.02,9.40,900.22,9.00,Infinity,Infinity,1.131,0.00,0,50.44,none,Infinity
2,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target1.5_hold24_short_only_none,1h,8,100.00,978.27,9.78,938.39,9.38,Infinity,Infinity,1.175,0.00,0,48.62,none,Infinity
3,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target1.5_hold96_short_only_none,1h,8,100.00,1264.93,12.65,1224.56,12.25,Infinity,Infinity,1.500,0.00,0,38.90,none,Infinity
4,WIFUSDT,atr_squeeze_continuation,ch55_cmp0.7_stop2_target1.5_hold48_short_only_none,1h,8,100.00,947.98,9.48,908.30,9.08,Infinity,558.09,1.140,0.00,0,50.43,none,13912.37
5,BNBUSDT,atr_squeeze_continuation,ch20_cmp0.85_stop2_target1.5_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,912.33,9.12,802.09,8.02,50.14,27.60,1.099,-18.56,1,51.90,volume>1.25xSMA30,648.86
6,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target3.5_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1104.11,11.04,1009.79,10.10,59.31,27.02,1.324,-18.93,1,72.28,volume>1.25xSMA30,633.52
7,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.5_target3.5_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1396.19,13.96,1268.98,12.69,55.49,25.16,1.656,-25.62,1,70.37,volume>1.25xSMA30,590.41
8,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target2.5_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1006.59,10.07,912.86,9.13,54.64,24.73,1.211,-18.77,1,69.86,volume>1.25xSMA30,576.29
9,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.5_target2.5_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1273.07,12.73,1147.09,11.47,51.26,23.09,1.515,-25.33,1,62.36,volume>1.25xSMA30,539.68
10,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop2_target2_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,918.53,9.19,825.49,8.25,50.42,22.67,1.108,-18.58,1,67.29,volume>1.25xSMA30,524.95
11,BNBUSDT,atr_squeeze_continuation,ch36_cmp0.85_stop1.5_target2_hold12_short_only_volume>1.25xSMA30,1h,8,87.50,1134.39,11.34,1009.67,10.10,46.45,20.73,1.356,-24.96,1,56.46,volume>1.25xSMA30,479.33
